MSA_MD_Code,MSA_MD_Name
36540,"Omaha-Council Bluffs, NE-IA (MSA)"
36580,"Oneonta, NY (MSA)"
36620,"Ontario, OR-ID (MSA)"
36660,"Opelousas, LA (MSA)"
36700,"Orangeburg, SC (MSA)"
36740,"Orlando-Kissimmee-Sanford, FL (MSA)"
36780,"Oshkosh-Neenah, WI (MSA)"
36820,"Oskaloosa, IA (MSA)"
36830,"Othello, WA (MSA)"
36837,"Ottawa, IL (MSA)"
36840,"Ottawa, KS (MSA)"
36900,"Ottumwa, IA (MSA)"
36940,"Owatonna, MN (MSA)"
36980,"Owensboro, KY (MSA)"
37060,"Oxford, MS (MSA)"
37100,"Oxnard-Thousand Oaks-Ventura, CA (MSA)"
37120,"Ozark, AL (MSA)"
37140,"Paducah, KY-IL (MSA)"
37220,"Pahrump, NV (MSA)"
37260,"Palatka, FL (MSA)"
37300,"Palestine, TX (MSA)"
37340,"Palm Bay-Melbourne-Titusville, FL (MSA)"
37420,"Pampa, TX (MSA)"
37460,"Panama City, FL (MSA)"
37500,"Paragould, AR (MSA)"
37540,"Paris, TN (MSA)"
37580,"Paris, TX (MSA)"
37620,"Parkersburg-Vienna, WV (MSA)"
